year,internet_access,mobile_celullar,Index,population,CO2 emissions (kt),CO2 emissions (kg per 2015 US$ of GDP),CO2 emissions (metric tons per capita),Gdp%,co2 energy use,gdp_constant,pop_num,Agricultural land (% of land area),Agricultural land (sq. km),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (annual % growth)",Arable land (% of land area),Broad money growth (annual %),Broad money (% of GDP),Crop production index (2014-2016 = 100),"Energy imports, net (% of energy use)",Final consumption expenditure (% of GDP),Fixed broadband subscriptions,Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions,Fixed telephone subscriptions (per 100 people),Food production index (2014-2016 = 100),"Foreign direct investment, net (BoP, current US$)",GDP per capita (constant 2015 US$),GDP per capita growth (annual %),Gross capital formation (% of GDP),ICT goods exports (% of total goods exports),ICT goods imports (% total goods imports),"ICT service exports (% of service exports, BoP)","ICT service exports (BoP, current US$)","Life expectancy at birth, total (years)",Livestock production index (2014-2016 = 100),Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions,Natural gas rents (% of GDP),New businesses registered (number),"New business density (new registrations per 1,000 people ages 15-64)",Renewable energy consumption (% of total final energy consumption),Renewable electricity output (% of total electricity output),Total natural resources rents (% of GDP),Total reserves (% of total external debt),"Inflation, consumer prices (annual %)",Consumer price index (2010 = 100)
1995,0.001768954,4691,-1.7037291,1.763319561,76123.8,0.897168295,2.626350224,3.79999479,3.013113789,28478022,81507170839,16.64707315,396490,..,..,3.156935686,9.46358192,37.16944579,33.02,-340.144542,71.89289865,..,..,1176316,4.130609914,38.88,..,2862.107868,1.828036977,30.90855624,..,..,..,..,67.454,49.87,0.016472352,4691,4.46124812,..,..,0.42,0.978950038,18.87711951,12.60048857,29.77962649,51.93108535
1996,0.001738533,11700,-1.7032245,1.681159712,74433.2,0.867698793,2.525211077,4.09999847,3.042015383,28984634,84848963597,16.64161495,396360,..,..,3.157775408,14.64464552,33.00583648,43.26,-379.8625014,68.50583633,..,..,1278142,4.409722752,45.69,..,2927.377437,2.280472012,25.67841426,..,..,..,..,68.749,50.41,0.040366216,11700,4.632716361,..,..,0.39,0.653626416,21.17192421,18.71088086,18.67907586,61.63133217
1997,0.010268463,17400,-1.7028141,1.510573237,74649.1,0.827988201,2.494567358,1.099999939,3.027656182,29476031,85782302145,16.66428745,396900,..,..,3.211937491,18.25947539,36.08143414,30.82,-405.6179006,67.98432171,..,..,1400343,4.750785477,37.28,..,2910.239243,-0.585445319,22.44697253,..,..,..,..,69.171,49.56,0.059031014,17400,5.327899475,..,..,0.47,0.348885891,20.33273441,31.28762053,5.733522754,65.16497863
1998,0.020238555,18000,-1.7027709,1.398429124,77505.3,0.833012023,2.554046267,5.100003609,2.994182152,29924668,90157202650,16.72138856,398260,..,..,3.216555963,19.57262026,42.37682235,36.34,-410.4515636,72.78925929,..,..,1477000,4.935727274,41.78,..,3012.805444,3.524321957,27.14848166,..,..,..,..,69.451,52.15,0.060151043,18000,5.29640842,..,..,0.54,0.924254148,14.62708104,27.54354102,4.950161638,68.3907504
1999,0.199523843,72000,-1.6988832,1.402290858,80046.8,0.82883196,2.601065339,3.200001554,2.917786127,30346083,93042234535,16.68150176,397310,11.10697987,..,3.221594297,13.9471736,42.20770317,39.35,-415.3847592,68.38120152,..,..,1600000,5.272509141,43.84,..,3066.0377,1.766866719,26.24768467,..,..,..,..,70.032,52.04,0.237262911,72000,5.500961247,..,..,0.51,0.819970109,18.62330517,21.79188285,2.645511134,70.20003532
2000,0.491705679,86000,-1.6978753,1.375930803,78645.5,0.790604292,2.520609526,3.800000002,2.911319446,30774621,96577839449,16.80326148,400210,8.395048495,-4.599999988,3.216975824,14.13150284,37.82972484,30.95,-426.8035428,55.15499402,..,..,1761327,5.723310126,41.01,..,3138.230019,2.354580271,23.5639069,0.006492008,4.299571423,..,..,70.478,59.4,0.279451045,86000,6.361431398,..,..,0.43,0.212498032,26.68689739,53.24135173,0.339163189,70.438128
2001,0.646114017,100000,-1.6968674,1.348866952,82404.3,0.784460799,2.605694613,2.999999999,2.764180947,31200985,99475174632,16.84020926,401090,9.749419994,12.79999999,3.183806797,54.05140869,56.84895321,36.67,-405.6069841,58.48649658,..,..,1880000,6.025450799,44.17,..,3188.206226,1.592496614,26.8410615,0.001154551,3.615513724,..,..,70.823,57.93,0.320502702,100000,6.773304488,..,..,0.43,0.25915493,23.63094129,86.27158715,4.225988349,73.41483508
2002,1.59164126,450244,-1.6716519,1.354238911,88188.9,0.783141993,2.751098761,5.599999996,2.779092076,31624696,1.05046E+11,16.73356454,398550,9.224982107,-1.200000001,3.168691797,18.05211536,62.72422623,37.64,-394.6625119,59.47173338,..,..,1950000,6.166067177,45.61,..,3321.637761,4.1851601,30.65336244,0.006903652,4.794812157,..,..,71.23,60.19,1.423710128,450244,5.626284278,..,..,0.51,0.206163194,23.47093852,109.1717749,1.418301923,74.4560791
2003,2.195359731,1446927,-1.5998966,1.407273215,89492.7,0.761955992,2.752758782,7.200000001,2.726537582,32055883,1.12609E+11,16.7548515,399057,9.810558037,19.50000001,3.150511811,16.30615568,62.81907597,49,-405.0418018,55.28645336,18000,0.056151938,2079464,6.486996272,53.44,..,3512.899048,5.758041706,30.34066273,0.00281931,6.767406281,..,..,71.287,61.45,4.51376415,1446927,4.622660327,..,..,0.47,0.896148253,24.45232261,149.1586859,4.268953958,77.63457483
2004,4.634475088,4882414,-1.3525619,1.364081963,94187.8,0.757252944,2.85792657,4.3,2.726802671,32510186,1.17451E+11,17.27518537,411450,9.440477389,5.399999999,3.146019297,10.4512235,59.26531253,54.54,-407.1157857,52.33142905,36000,0.110734525,2486720,7.649048824,58.37,..,3612.75298,2.842493639,33.26354011,0.00586092,6.93415932,..,..,71.762,65.43,15.0181054,4882414,3.907359982,..,..,0.44,0.8032,26.15731301,203.8372314,3.961800303,80.71030165
2005,5.843942092,13661355,-0.7205301,1.441137296,99808.7,0.78903045,2.985149131,5.899999997,2.745003009,32956690,1.24381E+11,17.3028962,412110,7.691314872,2.299999997,3.153576797,11.69360354,53.82770752,55.85,-414.0453466,45.21180156,135000,0.409628515,2572000,7.804181791,59.95,-1101000000,3774.071254,4.465245063,31.65641451,0.00545286,7.915123709,3.829278022,96000000,72.061,67.44,41.45244865,13661355,4.628294295,..,..,0.58,1.636444051,32.68003154,346.3707156,1.382446567,81.82607845
2006,7.375984956,20997954,-0.1923384,1.627908677,102750.2,0.785574725,3.023502915,1.700000006,2.700577664,33435080,1.26495E+11,17.29030037,411810,7.543077591,8.099999997,3.136362491,19.64477663,57.28393915,59.16,-375.0793199,42.93817684,170000,0.508448013,2841297,8.497951852,63.27,-1762000000,3783.312964,0.244873743,30.17046366,0.00542578,5.883032858,3.861154446,99000000,72.334,70.72,62.80216467,20997954,4.488093548,4218,0.188689019,0.41,0.618861069,34.19132242,1380.891775,2.311499185,83.71748758
2007,9.451190626,27562721,0.280286,1.708971675,107745.5,0.804459177,3.116770947,3.399999997,2.728684056,33983827,1.30796E+11,17.32011051,412520,7.570625794,2.499999999,3.13594263,23.09073922,64.0936671,51.52,-345.94472,43.3323201,287039,0.844634101,3068409,9.029026983,58.32,-1539745128,3848.778251,1.730369328,34.46947819,0.002057793,4.601729719,5.021575999,142573128.2,72.602,70.59,81.10540402,27562721,3.9242968,3622,0.158544625,0.41,0.607592214,32.06007285,1875.449949,3.678995747,86.79745039
2008,10.18,27031472,0.2420392,1.795903932,112172.2,0.824321067,3.187069044,2.399999999,2.789948908,34569592,1.33935E+11,17.34404259,413090,6.586675992,-3.800000001,3.144339852,16.03708229,62.98582227,52.87,-334.7024625,43.38939273,485000,1.402967093,3069140,8.878149328,59.26,-2320754664,3874.368069,0.664881575,37.34843853,0.003803644,4.665524759,3.558380926,123897758.4,72.941,70.79,78.19436226,27031472,3.312338079,4651,0.199481682,0.3,0.703350234,32.86509136,2373.168953,4.858590628,91.01458318
2009,11.23,32729824,0.6522869,1.858701991,114179.4,0.809914478,3.184357,1.599999999,2.766450291,35196037,1.36078E+11,17.37385273,413800,9.343365411,21.1,3.146019297,4.840835097,73.16087894,72.36,-275.42561,53.70456836,818000,2.324125299,2576165,7.319474633,73.34,-2532507565,3866.295758,-0.208351663,46.87645747,0.001195517,3.719237874,3.389619798,99477008.77,73.62,75.16,92.99292417,32729824,3.991671401,4574,0.192454496,0.31,0.794784551,24.20225093,2092.066159,5.737060361,96.23614476
2010,12.5,32780165,0.6559111,1.898394281,120784.9,0.832623521,3.305232517,3.600000001,2.822382979,35856344,1.40977E+11,17.37133356,413740,8.466443577,4.900000006,3.149798047,13.54843173,69.05471601,74.96,-275.4634861,51.54727273,900000,2.51001608,2922731,8.15122423,76.69,-2081136054,3931.720059,1.6921701,41.43029216,0.001798993,2.963290784,4.43224111,154656835.7,73.808,79.63,91.42082361,32780165,3.253586851,4122,0.170339039,0.26,0.380460926,25.53832442,2350.225287,3.911061955,100
2011,14.9,35615926,0.8600691,1.943102134,134934.2,0.899575318,3.621367718,2.899999998,2.825125655,36543541,1.45065E+11,17.37721162,413880,8.11058988,11.59999999,3.149798047,19.90700326,68.06159619,83.53,-248.7348236,51.84486006,980752,2.683790203,3059336,8.371755535,84.76,-2037319358,3969.660276,0.964977574,38.05320508,0.00304572,3.352263374,4.885981895,176276220.6,74.123,86.81,97.46161442,35615926,3.272680254,4711,0.191739039,0.18,0.980009371,28.58128996,3161.178384,4.524211505,104.5242115
2012,18.2,37527703,0.9977058,1.966715818,139024.1,0.901597025,3.658468679,3.400000003,2.755124076,37260563,1.49998E+11,17.38149,413981.9,8.770686355,7.200000001,3.151687422,10.93691709,67.95439819,88.72,-212.7659318,52.46560587,1154748,3.099115896,3289363,8.828001574,89.77,-1541844615,4025.641484,1.410226665,39.15272914,0.001186158,4.025825747,6.80754642,255213005.3,74.202,91.42,100.7169538,37527703,3.366874259,7724,0.30946129,0.18,1.083680332,26.25251446,3636.657525,8.891450911,113.8179305
2013,22.5,39517045,1.1409266,1.97904881,147735.2,0.923015531,3.811521147,2.8,2.730370348,38000626,1.54198E+11,17.39553226,414316.35,9.851117128,8.2,3.147362852,8.409999837,71.72973143,98.82,-189.345469,53.79345431,1280000,3.368365563,3132829,8.244151031,98.04,-1963635050,4057.764807,0.797967812,43.41116148,0.000821854,4.151618919,5.620289684,212038088.3,74.615,96.37,103.9905106,39517045,3.153849018,7698,0.3037555,0.13,0.551010185,24.2231339,3840.101162,3.25423911,117.5218381
2014,29.5,43298174,1.4131455,1.999946051,156273,0.941521447,3.951960939,3.799999998,2.68633781,38760168,1.60057E+11,17.39526565,414310,10.28639707,2.500000003,3.136110575,14.42367387,79.30948123,94.93,-177.1243579,55.89337798,1599692,4.127154454,3098787,7.994771849,96.95,-1520777119,4129.422549,1.76594123,45.62657391,0.002037303,5.078891184,5.389215748,191497457.1,75.11,100.61,111.7079111,43298174,3.05690209,8426,0.327979309,0.07,0.395379969,22.61230978,3375.189509,2.916926921,120.9498642
2015,38.2,43227643,1.4080677,1.993431689,154654.3,0.902876959,3.833834222,3.700000001,..,39543154,1.65979E+11,17.40592281,414564,11.57870734,5.999999994,3.133044273,0.297131028,82.00065159,101.74,..,62.57082315,2269348,5.738915009,3267592,8.26335704,100.26,638915215.3,4197.419985,1.646657261,50.78068839,0.002003167,5.380112012,4.98193364,172182810.4,75.622,97.56,109.3176407,43227643,2.906030725,8093,0.311346049,0.06,0.322683799,14.92525275,3223.773497,4.784447007,126.7366464
2016,42.94552688,47041321,1.68263,1.957002471,157704.4,0.908868257,3.833681126,3.200000002,..,40339329,1.71291E+11,17.36553219,413602,12.2200948,1.800000006,3.108734325,0.815774502,78.88436914,103.33,..,63.40296729,2859567,7.088781769,3404709,8.440172617,102.79,-1591723072,4246.242174,1.163147579,50.77772389,0.020722989,5.181022071,5.621506287,192812901.3,75.732,101.83,116.6140394,47041321,2.566948433,8841,0.336151388,0.08,..,12.8191814,2211.020486,6.397694803,134.8448702
2017,47.69105515,45845665,1.5965498,1.903325428,164534.1,0.936984772,3.924298722,1.299999998,..,41136546,1.73517E+11,17.35501081,413351.408,11.75608873,0.999999999,3.136700044,8.380854997,79.32874846,104.4,..,61.51317089,3210267,7.803929382,4100982,9.969193816,102.87,-1238809876,4218.082319,-0.663171195,48.54374106,0.029037004,4.869928624,5.061555118,157476432.8,75.743,100.15,111.4475314,45845665,2.968067899,9885,0.372107583,0.14,..,15.37239297,1837.320525,5.59111591,142.3842032
2018,49.03846808,47154264,1.6907612,1.839444886,170582.4,0.961810379,3.994401828,1.200000001,..,41927007,1.756E+11,17.35656799,413388.496,11.87437174,3.499999997,3.149252417,11.1022592,81.57850526,115.36,..,59.27231716,3067022,7.315146536,4200919,10.01960145,108.63,-619904539.9,4188.220385,-0.707950481,47.07088043,..,..,4.046779506,132078821.9,76.066,96.31,112.4675177,47154264,4.643787047,9472,0.353296737,0.19,..,20.71720284,1530.216959,4.269990205,148.4639947
2019,58.97757455,45425533,1.5663028,1.732456728,161563,0.959910927,3.71822337,0.999999998,..,42705368,1.77356E+11,17.34700415,413160.71,12.33695281,2.700000001,3.161804747,-0.757531113,80.53913716,121.01,..,61.69110545,3582739,8.38943479,4635661,10.85498432,112.36,-1350051614,4153.003455,-0.840856659,44.6898079,..,..,2.802594459,90765792.34,76.474,96.52,106.3696091,45425533,4.236427923,..,..,0.16,..,18.52367894,1307.192192,1.951768211,151.3616678
2020,63.94999611,45555673,1.5756721,1.657703201,..,..,..,-5.099999998,..,43451666,1.6831E+11,17.34700415,413160.71,13.7842387,1.699999997,3.161804747,7.445617346,96.01181239,120.95,..,66.57231462,3790459,8.723391642,4785763,11.01399196,112.5,-1129312784,3873.508746,-6.729941648,43.81903891,..,..,2.480723448,74097259.43,74.453,97.06,104.842178,45555673,4.838496199,..,..,0.15,..,14.03437709,1147.852233,2.415130941,155.0172502
2021,70.77,47015757,1.6807895,1.628339254,..,..,..,3.4,..,44177969,1.74033E+11,17.34700415,413160.71,12.17565774,-1.900000001,3.161804747,13.18375865,90.93950539,108.76,..,61.79860775,4177035,9.455018179,5097059,11.53755846,104.83,-920931271.6,3939.360864,1.700063767,37.92783286,..,..,2.652750768,85477152.27,76.377,97.32,106.4235366,47015757,7.995728621,..,..,..,..,22.59027035,761.7927584,7.226063074,166.2188945
2022,..,49018766,1.7003987,,,,,3.200001647,..,44903225,1.79602E+11,..,..,11.58518968,5.800000003,..,14.32625276,82.90480896,118.19,..,55.04752824,4707509,10.48367684,5576193,12.41824613,111.22,-5073304.982,3999.757697,1.533163232,33.32466557,..,..,2.492623982,88630827.04,..,98.11,109.1653573,49018766,..,..,..,..,..,..,1007.85098,9.265515516,181.619932
